城市编码,名称,所属省份编码,所属区域,Longitude,Latitude
441500,汕尾,440000,"全国,华南区域",115.3660333,22.78576667
441600,河源,440000,"全国,华南区域",114.6918,23.74095
441700,阳江,440000,"全国,华南区域",111.9793667,21.87846667
441800,清远,440000,"全国,华南区域",113.0337,23.701275
441900,东莞,440000,"全国,华南区域",113.7603333,23.022
442000,中山,440000,"全国,华南区域",113.381325,22.514975
445100,潮州,440000,"全国,华南区域",116.6315,23.6657
445200,揭阳,440000,"全国,华南区域",116.37514,23.54814
445300,云浮,440000,"全国,华南区域",112.04375,22.94565
450100,南宁,450000,"全国,华南区域",108.325525,22.7982875
450200,柳州,450000,"全国,华南区域",109.4514286,24.34662857
450300,桂林,450000,"全国,华南区域",110.27002,25.22434
450400,梧州,450000,"全国,华南区域",111.28585,23.46625
450500,北海,450000,"全国,华南区域",109.15265,21.459875
450600,防城港,450000,"全国,华南区域",108.3477,21.67676667
450700,钦州,450000,"全国,华南区域",108.618325,21.9053
450800,贵港,450000,"全国,华南区域",109.5904,23.096275
450900,玉林,450000,"全国,华南区域",110.1395,22.632475
451000,百色,450000,"全国,华南区域",106.6242,23.88893333
451100,贺州,450000,"全国,华南区域",111.5205333,24.42676667
451200,河池,450000,"全国,华南区域",108.074,24.6968
451300,来宾,450000,"全国,华南区域",109.2104,23.73046667
451400,崇左,450000,"全国,华南区域",107.3589,22.39215
460100,海口,460000,"全国,华南区域",110.35706,20.01376
460200,三亚,460000,"全国,华南区域",109.5796667,18.2871
460321,三沙,460000,"全国,华南区域",112.3466,16.8396
460400,儋州,460000,"全国,华南区域",109.56465,19.5177
500000,重庆,500000,"全国,西南区域",106.8870259,29.66997778
510100,成都,510000,"全国,西南区域",104.0955077,30.62130769
510300,自贡,510000,"全国,西南区域",104.76225,29.33965
510400,攀枝花,510000,"全国,西南区域",101.6885,26.56332
510500,泸州,510000,"全国,西南区域",105.4166,28.8543
510600,德阳,510000,"全国,西南区域",104.390925,31.1215
510700,绵阳,510000,"全国,西南区域",104.6978833,31.49473333
510800,广元,510000,"全国,西南区域",105.8295,32.4299
510900,遂宁,510000,"全国,西南区域",105.5787,30.51086667
511000,内江,510000,"全国,西南区域",105.061975,29.59215
511100,乐山,510000,"全国,西南区域",103.750425,29.57855
511300,南充,510000,"全国,西南区域",106.09226,30.8024
511400,眉山,510000,"全国,西南区域",103.8428333,30.07273333
511500,宜宾,510000,"全国,西南区域",104.63295,28.77465
511600,广安,510000,"全国,西南区域",106.632825,30.466375
511700,达州,510000,"全国,西南区域",107.495,31.2107
511800,雅安,510000,"全国,西南区域",103.0163667,29.9936
511900,巴中,510000,"全国,西南区域",106.7563333,31.85143333
512000,资阳,510000,"全国,西南区域",104.63525,30.132275
513200,阿坝藏族羌族自治州,510000,"全国,西南区域",102.2371,31.89665
513300,甘孜藏族自治州,510000,"全国,西南区域",101.9568,30.02235
513400,凉山彝族自治州,510000,"全国,西南区域",102.260025,27.879
520100,贵阳,520000,"全国,西南区域",106.6900889,26.56641111
520200,六盘水,520000,"全国,西南区域",104.880475,26.5814
520300,遵义,520000,"全国,西南区域",106.9054333,27.66665
520400,安顺,520000,"全国,西南区域",105.9276667,26.2492
522200,铜仁地区,520000,"全国,西南区域",109.1796,27.7144
522300,黔西南布依族苗族自治州,520000,"全国,西南区域",104.89165,25.09585
522400,毕节,520000,"全国,西南区域",105.3198333,27.32006667
522600,黔东南苗族侗族自治州,520000,"全国,西南区域",107.93455,26.5529
522700,黔南布依族苗族自治州,520000,"全国,西南区域",107.52015,26.26905
530100,昆明,530000,"全国,西南区域",102.72261,24.96066
530300,曲靖,530000,"全国,西南区域",103.7822,25.507
530400,玉溪,530000,"全国,西南区域",102.5506667,24.3601
530500,保山,530000,"全国,西南区域",99.16945,25.12045
530600,昭通,530000,"全国,西南区域",103.7446,27.35485
530700,丽江,530000,"全国,西南区域",100.235,26.8854
530800,普洱,530000,"全国,西南区域",100.98085,22.79775
530900,临沧,530000,"全国,西南区域",100.08375,23.8902
532301,楚雄州,530000,"全国,西南区域",101.5431,25.04665
